Company,Sector,PE,3Y High,3Y Low,% Assets
1. Aditya Birla Sun Life Arbitrage Fund
Bajaj Finserv,Financial,34.76,1.08,0.00,1.08
Sanofi India,Healthcare,36.35,1.52,0.02,1.00
Emami,FMCG,48.90,2.47,0.00,0.98
HDFC Life Insurance,Financial,93.40,1.14,0.00,0.91
Ultratech Cement,Construction,38.39,0.90,0.00,0.89
Hindalco Inds.,Metals,51.26,2.41,0.35,0.85
8. Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan
HDFC Bank,Financial,29.02,8.91,0.00,7.31
ITC,FMCG,23.98,6.35,1.26,4.14
HDFC,Financial,34.47,5.85,0.27,3.31
ICICI Bank,Financial,54.53,5.85,0.92,3.07
Infosys,Technology,17.89,5.91,0.84,2.64
Reliance Industries,Energy,21.30,2.87,0.00,2.16
Kotak Mahindra Bank,Financial,37.73,3.07,0.00,2.16
Axis Bank,Financial,45.74,2.69,0.00,1.96
HCL Technologies,Technology,14.96,3.62,0.00,1.86
Aditya Birla SL Nifty Next 50 ETF Reg-G,-,-,-,-,1.84
NTPC,Energy,10.17,2.89,0.00,1.69
Larsen & Toubro,Construction,21.94,2.82,0.00,1.59
Nestle India,FMCG,86.20,2.44,0.00,1.59
Indusind Bank,Financial,22.01,1.77,0.00,1.56
Bharti Airtel,Communication,0.00,2.17,0.00,1.40
Mahanagar Gas,Energy,16.18,4.20,0.56,1.37
Coal India,Energy,7.07,2.85,0.00,1.35
Dabur India,FMCG,56.52,1.93,0.00,1.23
Metropolis Healthcare,Healthcare,56.54,1.26,0.00,1.18
Bajaj Finserv,Financial,34.76,1.08,0.00,1.08
Sanofi India,Healthcare,36.35,1.52,0.02,1.00
Emami,FMCG,48.90,2.47,0.00,0.98
HDFC Life Insurance,Financial,93.40,1.14,0.00,0.91
Ultratech Cement,Construction,38.39,0.90,0.00,0.89
Hindalco Inds.,Metals,51.26,2.41,0.35,0.85
9. Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan
HDFC Bank,Financial,29.02,19.13,8.05,17.28
ICICI Bank,Financial,54.53,15.40,7.32,11.94
Bajaj Finance,Financial,47.90,10.99,5.38,7.80
