Company,Sector,PE,3Y High,3Y Low,% Assets
1. Aditya Birla Sun Life Arbitrage Fund
Larsen & Toubro,Construction,21.91,0.87,0.73,0.80
Marico,FMCG,43.43,0.79,0.73,0.79
Shree Cement,Construction,53.30,0.90,0.72,0.76
Gruh Finance,Financial,52.02,0.93,0.70,0.75
NTPC,Energy,10.18,0.87,0.71,0.71
Sanofi India,Healthcare,36.34,0.77,0.68,0.71
Hero Motocorp,Automobile,14.51,0.74,0.63,0.71
Castrol India,Energy,18.17,0.79,0.56,0.62
10. Aditya Birla Sun Life Equity Advantage Fund - Regular Plan
HDFC Bank,Financial,29.04,9.71,2.99,9.71
ICICI Bank,Financial,54.60,9.10,0.00,8.50
Bajaj Finance,Financial,47.42,5.19,1.26,5.19
Reliance Industries,Energy,21.03,9.20,0.00,4.89
Voltas,Cons Durable,47.85,4.05,1.20,4.05
Crompton Greaves Consumer Electricals,Cons Durable,39.07,3.47,0.00,3.47
Shree Cement,Construction,53.30,3.74,0.00,3.16
Kotak Mahindra Bank,Financial,37.46,3.46,0.00,3.02
The Ramco Cements,Construction,30.90,2.98,0.00,2.98
State Bank of India,Financial,30.54,4.93,0.00,2.90
Info Edge (India),Services,100.66,2.68,0.00,2.35
Axis Bank,Financial,45.35,5.57,0.00,2.23
Natco Pharma,Healthcare,17.27,4.21,1.79,2.22
Bandhan Bank,Financial,30.55,2.58,0.00,2.19
Titan Company,Cons Durable,83.39,2.07,0.00,2.07
Larsen & Toubro,Construction,21.91,2.38,0.00,2.06
Infosys,Technology,17.88,5.23,0.00,2.00
Atul,Chemicals,26.43,1.91,0.00,1.91
Bata India,FMCG,65.48,1.85,0.00,1.85
L&T Infotech,Technology,19.46,2.06,0.00,1.84
Aditya Birla Fashion and Retail,Services,47.13,1.72,0.00,1.72
Thermax,Engineering,39.94,1.64,0.00,1.64
RBL Bank,Financial,14.06,3.93,0.00,1.55
Nestle India,FMCG,85.53,1.48,0.00,1.48
Quess Corp,Financial,26.74,2.37,0.00,1.40
11. Aditya Birla Sun Life Equity Fund
ICICI Bank,Financial,54.60,9.76,0.00,9.76
HDFC Bank,Financial,29.04,9.67,4.51,9.67
Dr. Reddy's Lab,Healthcare,21.84,4.75,1.33,3.89
Bajaj Finance,Financial,47.42,3.21,1.13,3.21
Larsen & Toubro,Construction,21.91,3.14,0.00,3.14
Sun Pharmaceutical Inds.,Healthcare,31.92,3.81,0.00,3.12
Tech Mahindra,Technology,16.09,4.35,0.00,3.08
ITC,FMCG,24.06,4.59,1.48,3.03
Tata Chemicals,Chemicals,13.07,4.02,2.21,2.96
Infosys,Technology,17.88,4.08,0.91,2.75
Century Textiles & Inds.,Diversified,10.55,2.73,1.57,2.62
PVR,Services,52.87,2.67,0.00,2.53
State Bank of India,Financial,30.54,2.85,0.00,2.49
Tata Steel,Metals,4.78,3.96,0.74,2.35
HCL Technologies,Technology,14.98,3.68,1.10,2.23
Indusind Bank,Financial,22.19,3.30,1.84,2.21
Bharti Airtel,Communication,0.00,2.18,0.00,2.18
Aditya Birla SL Overnight Fund Direct-G,-,-,-,-,1.78
Hindalco Inds.,Metals,51.04,2.87,0.00,1.54
Bharat Forge,Automobile,20.95,2.70,0.00,1.52
ACC,Construction,15.59,1.76,0.31,1.48
Axis Bank,Financial,45.35,1.47,0.00,1.47
Reliance Industries,Energy,21.03,1.45,0.00,1.45
ICICI Lombard General Insurance,Financial,54.96,1.36,0.00,1.36
United Spirits,FMCG,58.14,2.38,0.55,1.36
12. Aditya Birla Sun Life Equity Hybrid '95 Fund
HDFC Bank,Financial,29.04,8.33,3.06,8.08
ICICI Bank,Financial,54.60,6.79,2.05,6.05
Infosys,Technology,17.88,4.34,1.92,4.22
Larsen & Toubro,Construction,21.91,2.81,0.46,2.81
ITC,FMCG,24.06,2.63,0.68,2.52
Reliance Industries,Energy,21.03,2.37,0.00,2.37
State Bank of India,Financial,30.54,3.11,0.28,2.29
Whirlpool,Cons Durable,62.92,2.03,0.29,2.03
Axis Bank,Financial,45.35,2.02,0.00,2.02
HDFC,Financial,34.78,1.85,0.00,1.85
Marico,FMCG,43.43,1.84,0.00,1.83
Indusind Bank,Financial,22.19,2.36,0.65,1.79
Kotak Mahindra Bank,Financial,37.46,1.63,0.81,1.52
Pfizer,Healthcare,33.24,1.39,0.51,1.39
Sun TV Network,Services,14.92,1.32,0.44,1.32
HCL Technologies,Technology,14.98,1.69,0.44,1.30
IRB InvIT Fund,Construction,-,1.65,0.00,1.26
Crompton Greaves Consumer Electricals,Cons Durable,39.07,1.12,0.36,1.12
Eris Lifesciences,Healthcare,18.99,1.82,0.00,1.06
Kansai Nerolac Paints,Chemicals,60.53,1.05,0.00,1.05
Bata India,FMCG,65.48,1.34,0.00,1.01
Tech Mahindra,Technology,16.09,1.57,0.05,1.01
Dabur India,FMCG,56.48,1.28,0.00,1.00
Alkem Laboratories,Healthcare,28.98,1.00,0.00,1.00
Ultratech Cement,Construction,38.20,0.93,0.00,0.93
13. Aditya Birla Sun Life Equity Savings Fund - Regular Plan
ITC,FMCG,24.06,7.40,0.46,6.38
Adani Power,Engineering,0.00,6.56,0.00,4.41
HDFC Bank,Financial,29.04,4.35,0.28,4.35
Adani Enterprises,Services,16.88,3.56,0.00,3.56
JSW Steel,Metals,8.54,4.20,0.00,3.36
Sun Pharmaceutical Inds.,Healthcare,31.92,3.63,1.03,2.36
Pfizer,Healthcare,33.24,2.32,0.00,2.32
Bandhan Bank,Financial,30.55,2.21,0.00,2.21
Kotak Mahindra Bank,Financial,37.46,2.01,0.00,2.01
Punjab National Bank,Financial,0.00,2.15,0.00,1.93
Whirlpool,Cons Durable,62.92,1.89,0.06,1.89
State Bank of India,Financial,30.54,3.42,0.65,1.88
Bajaj Finance,Financial,47.42,1.84,0.56,1.84
Honeywell Automation,Engineering,66.64,1.70,0.00,1.70
ICICI Bank,Financial,54.60,4.68,0.00,1.59
Thermax,Engineering,39.94,1.46,0.00,1.46
Atul,Chemicals,26.43,1.44,0.00,1.44
Shree Cement,Construction,53.30,1.62,0.00,1.42
Hindalco Inds.,Metals,51.04,1.72,0.00,1.35
Axis Bank,Financial,45.35,4.79,0.00,1.30
MRF,Automobile,24.70,1.28,0.00,1.28
Jubilant FoodWorks,Services,63.52,1.24,0.00,1.24
Dalmia Bharat,Construction,36.35,1.64,0.00,1.22
Bajaj Electricals,Cons Durable,27.93,1.62,0.00,1.21
Marico,FMCG,43.43,1.62,0.00,1.20
14. Aditya Birla Sun Life Financial Planning Fund FoF - Aggressive Plan
Aditya Birla Sun Life Equity Fund Direct-Growth,-,-,-,-,17.63
Aditya Birla SL Focused Equity Direct-G,-,-,-,-,17.43
Aditya Birla SL India GenNext Direct-G,-,-,-,-,14.37
Aditya Birla SL Small Cap Direct-G,-,-,-,-,13.90
Aditya Birla SL Credit Risk Direct-G,-,-,-,-,12.80
Aditya Birla SL Pharma & Healthcare Fund Direct-G,-,-,-,-,8.01
Aditya Birla SL Corporate Bond Direct-G,-,-,-,-,7.98
Aditya Birla SL Medium Term Direct Plan -Growth,-,-,-,-,5.87
Aditya Birla SL Money Manager Direct-G,-,-,-,-,1.07
15. Aditya Birla Sun Life Financial Planning Fund FoF - Conservative Plan
Aditya Birla SL Credit Risk Direct-G,-,-,-,-,27.08
Aditya Birla SL Medium Term Direct Plan -Growth,-,-,-,-,15.51
Aditya Birla SL Corporate Bond Direct-G,-,-,-,-,14.75
Aditya Birla Sun Life Equity Fund Direct-Growth,-,-,-,-,8.54
Aditya Birla SL Focused Equity Direct-G,-,-,-,-,8.43
Aditya Birla SL Money Manager Direct-G,-,-,-,-,6.83
Aditya Birla SL Small Cap Direct-G,-,-,-,-,6.73
Aditya Birla SL India GenNext Direct-G,-,-,-,-,5.38
Aditya Birla SL Pharma & Healthcare Fund Direct-G,-,-,-,-,3.86
16. Aditya Birla Sun Life Financial Planning Fund FoF - Prudent Plan
Aditya Birla SL Credit Risk Direct-G,-,-,-,-,18.94
Aditya Birla SL Focused Equity Direct-G,-,-,-,-,14.39
Aditya Birla Sun Life Equity Fund Direct-Growth,-,-,-,-,12.67
Aditya Birla SL Corporate Bond Direct-G,-,-,-,-,12.45
Aditya Birla SL Medium Term Direct Plan -Growth,-,-,-,-,11.59
Aditya Birla SL India GenNext Direct-G,-,-,-,-,10.36
Aditya Birla SL Small Cap Direct-G,-,-,-,-,9.94
Aditya Birla SL Pharma & Healthcare Fund Direct-G,-,-,-,-,5.20
Aditya Birla SL Money Manager Direct-G,-,-,-,-,2.35
17. Aditya Birla Sun Life Focused Equity Fund
HDFC Bank,Financial,29.04,10.52,4.86,10.24
ICICI Bank,Financial,54.60,9.41,3.93,8.58
Larsen & Toubro,Construction,21.91,5.63,0.92,5.63
Infosys,Technology,17.88,6.80,3.04,5.44
HDFC,Financial,34.78,6.61,1.65,5.36
ITC,FMCG,24.06,6.51,3.37,5.34
Reliance Industries,Energy,21.03,5.27,1.17,4.73
NTPC,Energy,10.18,4.19,0.83,3.90
Axis Bank,Financial,45.35,3.69,0.00,3.69
State Bank of India,Financial,30.54,5.74,0.00,3.62
Alkem Laboratories,Healthcare,28.98,3.31,0.00,3.31
Crompton Greaves Consumer Electricals,Cons Durable,39.07,3.12,1.19,3.12
