Company,Sector,PE,3Y High,3Y Low,% Assets
1. HDFC Small Cap Fund - Direct Plan
HSBC GIF Asia Pacific Ex Japan Dividend Yield,-,-,-,-,96.84
9. HSBC Brazil Fund
HSBC GIF Global Brazil Markets Equity,-,-,-,-,97.40
10. HSBC Brazil Fund - Direct Plan
HSBC GIF Global Brazil Markets Equity,-,-,-,-,97.40
11. HSBC Equity Hybrid Fund - Direct Plan
HDFC Bank,Financial,29.06,8.21,6.46,8.21
ICICI Bank,Financial,54.91,6.67,5.34,6.67
Reliance Industries,Energy,21.20,6.35,3.83,6.35
HDFC,Financial,34.48,5.86,2.50,4.56
Kotak Mahindra Bank,Financial,37.66,4.55,0.00,4.55
Infosys,Technology,17.88,3.84,2.30,3.72
Larsen & Toubro,Construction,21.90,3.56,2.06,3.40
Asian Paints,Chemicals,65.80,2.71,1.04,2.71
Axis Bank,Financial,45.64,4.20,2.08,2.11
Hindustan Unilever,FMCG,69.38,1.83,0.00,1.83
Bharti Airtel,Communication,0.00,1.69,0.00,1.69
Tata Consultancy Services,Technology,23.99,2.84,0.98,1.61
Crompton Greaves Consumer Electricals,Cons Durable,39.54,1.54,0.00,1.54
Indian Hotels,Services,65.94,1.47,0.00,1.47
Supreme Industries,Chemicals,38.21,1.42,0.79,1.42
JK Lakshmi Cement,Construction,32.22,1.56,0.00,1.40
City Union Bank,Financial,21.80,1.58,0.72,1.35
Ultratech Cement,Construction,38.23,2.18,0.00,1.34
HCL Technologies,Technology,14.95,1.82,0.80,1.33
SBI Life Insurance Company,Financial,81.79,1.32,0.00,1.30
Federal Bank,Financial,11.02,1.25,0.00,1.25
Tech Mahindra,Technology,16.17,1.26,0.00,1.21
DLF,Construction,27.76,1.39,0.00,1.20
ITC,FMCG,24.04,2.36,0.00,1.20
Torrent Pharmaceuticals,Healthcare,58.21,1.30,0.00,1.15
12. HSBC Equity Hybrid Fund - Regular Plan
HDFC Bank,Financial,29.06,8.21,6.46,8.21
ICICI Bank,Financial,54.91,6.67,5.34,6.67
Reliance Industries,Energy,21.20,6.35,3.83,6.35
HDFC,Financial,34.48,5.86,2.50,4.56
Kotak Mahindra Bank,Financial,37.66,4.55,0.00,4.55
Infosys,Technology,17.88,3.84,2.30,3.72
Larsen & Toubro,Construction,21.90,3.56,2.06,3.40
Asian Paints,Chemicals,65.80,2.71,1.04,2.71
Axis Bank,Financial,45.64,4.20,2.08,2.11
Hindustan Unilever,FMCG,69.38,1.83,0.00,1.83
Bharti Airtel,Communication,0.00,1.69,0.00,1.69
Tata Consultancy Services,Technology,23.99,2.84,0.98,1.61
Crompton Greaves Consumer Electricals,Cons Durable,39.54,1.54,0.00,1.54
Indian Hotels,Services,65.94,1.47,0.00,1.47
